FID IID
3086402 3086402
3087840 3087840
3087928 3087928
3094173 3094173
3097158 3097158
3097400 3097400
3099064 3099064
3099599 3099599
3100704 3100704
3105700 3105700
3113649 3113649
3113665 3113665
3114529 3114529
3118929 3118929
3120529 3120529
3124300 3124300
3130687 3130687
3131416 3131416
3134230 3134230
3138262 3138262
3139102 3139102
3139210 3139210
3142577 3142577
3143176 3143176
3149525 3149525
3154302 3154302
3159925 3159925
3160422 3160422
3162464 3162464
3163109 3163109
3164194 3164194
3166881 3166881
3168661 3168661
3170801 3170801
3172956 3172956
3173398 3173398
3173834 3173834
3174679 3174679
3174705 3174705
3176088 3176088
3176239 3176239
3176696 3176696
3178057 3178057
3179318 3179318
3180803 3180803
3181200 3181200
3181347 3181347
3182050 3182050
3182945 3182945
3185251 3185251
3185896 3185896
3187329 3187329
3191219 3191219
3192993 3192993
3196220 3196220
3203126 3203126
3204236 3204236
3207358 3207358
3207510 3207510
3209873 3209873
3210227 3210227
3210528 3210528
3211877 3211877
3216078 3216078
3222946 3222946
3230427 3230427
3240068 3240068
3240606 3240606
3243868 3243868
3244477 3244477
3244861 3244861
3253524 3253524
3258252 3258252
3261616 3261616
3263040 3263040
3265141 3265141
3266182 3266182
3268585 3268585
3272039 3272039
3272419 3272419
3274532 3274532
3277091 3277091
3277964 3277964
3278666 3278666
3279025 3279025
3281970 3281970
3282885 3282885
3283011 3283011
3283699 3283699
3288590 3288590
3292020 3292020
3300608 3300608
3301987 3301987
3311082 3311082
3311686 3311686
3315667 3315667
3317627 3317627
3327087 3327087
3332381 3332381
3333011 3333011
3334181 3334181
3336894 3336894
3337923 3337923
3343556 3343556
3344598 3344598
3350135 3350135
3352106 3352106
3352238 3352238
3357503 3357503
3366048 3366048
3366957 3366957
3367481 3367481
3367749 3367749
3368046 3368046
3371209 3371209
3371617 3371617
3373485 3373485
3373761 3373761
3376199 3376199
3384621 3384621
3387807 3387807
3388296 3388296
3389889 3389889
3390235 3390235
3398552 3398552
3406919 3406919
3408616 3408616
3409308 3409308
3413263 3413263
3415757 3415757
3416460 3416460
3418583 3418583
3420426 3420426
3423843 3423843
3424224 3424224
3424440 3424440
3426756 3426756
3431241 3431241
3431467 3431467
3434019 3434019
3434742 3434742
3434861 3434861
3445695 3445695
3448199 3448199
3449320 3449320
3449819 3449819
3449951 3449951
3453861 3453861
3454837 3454837
3456158 3456158
3457950 3457950
3458103 3458103
3458517 3458517
3465548 3465548
3469921 3469921
3474201 3474201
3476636 3476636
3481098 3481098
3484162 3484162
3485137 3485137
3499829 3499829
3500030 3500030
3503608 3503608
3504106 3504106
3507583 3507583
3510651 3510651
3514394 3514394
3515916 3515916
3516468 3516468
3517831 3517831
3521835 3521835
3522587 3522587
3525134 3525134
3528960 3528960
3531842 3531842
3534475 3534475
3542431 3542431
3542625 3542625
3546634 3546634
3546984 3546984
3554835 3554835
3555089 3555089
3556502 3556502
3560039 3560039
3566315 3566315
3568628 3568628
3569397 3569397
3569851 3569851
3571274 3571274
3572100 3572100
3574015 3574015
3574552 3574552
3580950 3580950
3585637 3585637
3589224 3589224
3591832 3591832
3591844 3591844
3591949 3591949
3594954 3594954
3597185 3597185
3599652 3599652
3600713 3600713
3604606 3604606
3608978 3608978
3611150 3611150
3614978 3614978
3621307 3621307
3624470 3624470
3624520 3624520
3626648 3626648
3627126 3627126
3628872 3628872
3631444 3631444
3632200 3632200
3633174 3633174
3637065 3637065
3639328 3639328
3642712 3642712
3643687 3643687
3645410 3645410
3646936 3646936
3648240 3648240
3649468 3649468
3655472 3655472
3664145 3664145
3664849 3664849
3665419 3665419
3666532 3666532
3667496 3667496
3675093 3675093
3678316 3678316
3681367 3681367
3682783 3682783
3686738 3686738
3688772 3688772
3694184 3694184
3695392 3695392
3701508 3701508
3710019 3710019
3710075 3710075
3711459 3711459
3711598 3711598
3720303 3720303
3723100 3723100
3724855 3724855
3726803 3726803
3727098 3727098
3730124 3730124
3730604 3730604
3732970 3732970
3735973 3735973
3737279 3737279
3739154 3739154
3741994 3741994
3744375 3744375
3747009 3747009
3747121 3747121
3750726 3750726
3754268 3754268
3755928 3755928
3758249 3758249
3760201 3760201
3762653 3762653
3763439 3763439
3765094 3765094
3768103 3768103
3771178 3771178
3772988 3772988
3780576 3780576
3784736 3784736
3786890 3786890
3787888 3787888
3788196 3788196
3790903 3790903
3795235 3795235
3795775 3795775
3799963 3799963
3800948 3800948
3806359 3806359
3808133 3808133
3810047 3810047
3812255 3812255
3812371 3812371
3818979 3818979
3820427 3820427
3825220 3825220
3827038 3827038
3830658 3830658
3833756 3833756
3840259 3840259
3841124 3841124
3842559 3842559
3842709 3842709
3845316 3845316
3846439 3846439
3848586 3848586
3851705 3851705
3854044 3854044
3856994 3856994
3862809 3862809
3865930 3865930
3869567 3869567
3869580 3869580
3871929 3871929
3876160 3876160
3876730 3876730
3878620 3878620
3880046 3880046
3882110 3882110
3885802 3885802
3889350 3889350
3889834 3889834
3890290 3890290
3892779 3892779
3894358 3894358
3894664 3894664
3895417 3895417
3896456 3896456
3896536 3896536
3902606 3902606
3904705 3904705
3905987 3905987
3910392 3910392
3914230 3914230
3916442 3916442
3933158 3933158
3936996 3936996
3940093 3940093
3944997 3944997
3949736 3949736
3949772 3949772
3953457 3953457
3956389 3956389
3962499 3962499
3964064 3964064
3965997 3965997
3970016 3970016
3970282 3970282
3976437 3976437
3977670 3977670
3981664 3981664
3983020 3983020
3985304 3985304
3986867 3986867
3988985 3988985
3992601 3992601
3993023 3993023
3994726 3994726
3999257 3999257
4002558 4002558
4002983 4002983
4008039 4008039
4012640 4012640
4013736 4013736
4016545 4016545
4017276 4017276
4018345 4018345
4021434 4021434
4022547 4022547
4028564 4028564
4030070 4030070
4033221 4033221
4035365 4035365
4036072 4036072
4036585 4036585
4037458 4037458
4038787 4038787
4039989 4039989
4040341 4040341
4041848 4041848
4042223 4042223
4042649 4042649
4044152 4044152
4047550 4047550
4048664 4048664
4052005 4052005
4055924 4055924
4061809 4061809
4066903 4066903
4070205 4070205
4072628 4072628
4075703 4075703
4075930 4075930
4079154 4079154
4079792 4079792
4083591 4083591
4087051 4087051
4088754 4088754
4091240 4091240
4092245 4092245
4099816 4099816
4101111 4101111
4104465 4104465
4105421 4105421
4114658 4114658
4118366 4118366
4121347 4121347
4128360 4128360
4132040 4132040
4132174 4132174
4133293 4133293
4133466 4133466
4140422 4140422
4140847 4140847
4140885 4140885
4146333 4146333
4146656 4146656
4149491 4149491
4149895 4149895
4154466 4154466
4155254 4155254
4159657 4159657
4160424 4160424
4167903 4167903
4168457 4168457
4171939 4171939
4176206 4176206
4176265 4176265
4189565 4189565
4190010 4190010
4195525 4195525
4196895 4196895
4197179 4197179
4198639 4198639
4206003 4206003
4206414 4206414
4207190 4207190
4208379 4208379
4208464 4208464
4212395 4212395
4217043 4217043
4218927 4218927
4219066 4219066
4226602 4226602
4226840 4226840
4231427 4231427
4232806 4232806
4234629 4234629
4246937 4246937
4256304 4256304
4257241 4257241
4267917 4267917
4268131 4268131
4269438 4269438
4269739 4269739
4270459 4270459
4272374 4272374
4272507 4272507
4273594 4273594
4274251 4274251
4276085 4276085
4277186 4277186
4277408 4277408
4282688 4282688
4284145 4284145
4284480 4284480
4286264 4286264
4288917 4288917
4289009 4289009
4291553 4291553
4292432 4292432
4295082 4295082
4299258 4299258
4302441 4302441
4303980 4303980
4304745 4304745
4309134 4309134
4309806 4309806
4311158 4311158
4315966 4315966
4318222 4318222
4327333 4327333
4328271 4328271
4328348 4328348
4329588 4329588
4330159 4330159
4331287 4331287
4339656 4339656
4343027 4343027
4350298 4350298
4350731 4350731
4353309 4353309
4360524 4360524
4361934 4361934
4365439 4365439
4370887 4370887
4373405 4373405
4376938 4376938
4380962 4380962
4383710 4383710
4385401 4385401
4388794 4388794
4389283 4389283
4394160 4394160
4396587 4396587
4398692 4398692
4401512 4401512
4403035 4403035
4403992 4403992
4404328 4404328
4410437 4410437
4413767 4413767
4414997 4414997
4419854 4419854
4420428 4420428
4422001 4422001
4422968 4422968
4430500 4430500
4437445 4437445
4438151 4438151
4440078 4440078
4442047 4442047
4442958 4442958
4452723 4452723
4457776 4457776
4458463 4458463
4459848 4459848
4462938 4462938
4469791 4469791
4475416 4475416
4476198 4476198
4480077 4480077
4480475 4480475
4481092 4481092
4481581 4481581
4483175 4483175
4483334 4483334
4485449 4485449
4485921 4485921
4489176 4489176
4490282 4490282
4490649 4490649
4491311 4491311
4493507 4493507
4495717 4495717
4497077 4497077
4498502 4498502
4499174 4499174
4500948 4500948
4503154 4503154
4507354 4507354
4509155 4509155
4510346 4510346
4512973 4512973
4514069 4514069
4519215 4519215
4521573 4521573
4524888 4524888
4526434 4526434
4527652 4527652
4528156 4528156
4529951 4529951
4531289 4531289
4544046 4544046
4546697 4546697
4549657 4549657
4554962 4554962
4556783 4556783
4557111 4557111
4557271 4557271
4558776 4558776
4563944 4563944
4566341 4566341
4568774 4568774
4568824 4568824
4572737 4572737
4575640 4575640
4575892 4575892
4582270 4582270
4583995 4583995
4586478 4586478
4586650 4586650
4587609 4587609
4590038 4590038
4594040 4594040
4598714 4598714
4599464 4599464
4599609 4599609
4606356 4606356
4612088 4612088
4614664 4614664
4616640 4616640
4618952 4618952
4620375 4620375
4622756 4622756
4626112 4626112
4630727 4630727
